IP,Client,Timestamp,Method,URL,Protocol,Status,Size,Referer,User-Agent,OS,Date,Bot,City,z_score
192.95.12.193,-,2015-05-17 14:05:47+00:00,GET,/misc/sample.log,HTTP/1.1,200,54306753,http://www.semicomplete.com/,Mozilla/5.0 (Macintosh; Intel Mac OS X 10.7; rv:21.0) Gecko/20100101 Firefox/21.0,Mac OS X,2015-05-17,,Montreal,15.221035256664239
94.23.164.135,-,2015-05-17 18:05:26+00:00,GET,/misc/sample.log,HTTP/1.1,200,54306753,http://www.semicomplete.com/,Mozilla/5.0 (Macintosh; Intel Mac OS X 10.7; rv:21.0) Gecko/20100101 Firefox/21.0,Mac OS X,2015-05-17,,Limburg an der Lahn,15.221035256664239
94.23.164.135,-,2015-05-17 19:05:41+00:00,GET,/misc/sample.log,HTTP/1.1,200,54306753,http://www.semicomplete.com/,Mozilla/5.0 (Macintosh; Intel Mac OS X 10.7; rv:21.0) Gecko/20100101 Firefox/21.0,Mac OS X,2015-05-17,,Limburg an der Lahn,15.221035256664239
88.198.255.242,-,2015-05-17 21:05:32+00:00,GET,/misc/sample.log,HTTP/1.1,200,54306753,http://www.semicomplete.com/,Mozilla/5.0 (Macintosh; Intel Mac OS X 10.7; rv:21.0) Gecko/20100101 Firefox/21.0,Mac OS X,2015-05-17,,,15.221035256664239
198.143.144.61,-,2015-05-17 22:05:31+00:00,GET,/misc/sample.log,HTTP/1.0,200,54306753,http://www.semicomplete.com/,Mozilla/5.0 (Macintosh; Intel Mac OS X 10.7; rv:21.0) Gecko/20100101 Firefox/21.0,Mac OS X,2015-05-17,,,15.221035256664239
192.227.137.164,-,2015-05-17 22:05:39+00:00,GET,/misc/sample.log,HTTP/1.0,200,54306753,http://www.semicomplete.com/,Mozilla/5.0 (Macintosh; Intel Mac OS X 10.7; rv:21.0) Gecko/20100101 Firefox/21.0,Mac OS X,2015-05-17,,Dallas,15.221035256664239
69.175.14.228,-,2015-05-18 11:05:52+00:00,GET,/misc/sample.log,HTTP/1.0,200,54306753,http://www.semicomplete.com/,Mozilla/5.0 (Macintosh; Intel Mac OS X 10.7; rv:21.0) Gecko/20100101 Firefox/21.0,Mac OS X,2015-05-18,,,15.221035256664239
66.249.73.135,-,2015-05-18 13:05:58+00:00,GET,/misc/sample.log,HTTP/1.1,200,54306753,-,"Mozilla/5.0 (iPhone; CPU iPhone OS 6_0 like Mac OS X) AppleWebKit/536.26 (KHTML, like Gecko) Version/6.0 Mobile/10A5376e Safari/8536.25 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)",iOS,2015-05-18,Googlebot,,15.221035256664239
216.152.249.242,-,2015-05-18 13:05:07+00:00,GET,/files/logstash/semicomplete.com.access,HTTP/1.1,200,48437287,-,Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1),Windows,2015-05-18,,,13.566979508091045
117.28.234.67,-,2015-05-18 16:05:45+00:00,GET,/files/logstash/logstash-1.1.9-monolithic.jar,HTTP/1.0,200,69192717,-,Wget/1.12 (linux-gnu),Linux,2015-05-18,,,19.416001941410965
66.249.73.135,-,2015-05-18 17:05:27+00:00,GET,/presentations/logstash-monitorama-2013.pdf,HTTP/1.1,200,12241812,-,Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html),Other,2015-05-18,Googlebot,,3.3668465665104397
94.23.164.135,-,2015-05-18 17:05:45+00:00,GET,/misc/sample.log,HTTP/1.1,200,54306753,http://www.semicomplete.com/,Mozilla/5.0 (Macintosh; Intel Mac OS X 10.7; rv:21.0) Gecko/20100101 Firefox/21.0,Mac OS X,2015-05-18,,Limburg an der Lahn,15.221035256664239
220.181.108.18,-,2015-05-18 20:05:53+00:00,GET,/files/logstash/semicomplete.com.access,HTTP/1.0,200,48437287,-,"Mozilla/5.0 (Linux;u;Android 2.3.7;zh-cn;HTC Desire Build) AppleWebKit/533.1 (KHTML,like Gecko) Version/4.0 Mobile Safari/533.1",Android,2015-05-18,,,13.566979508091045
183.82.101.58,-,2015-05-18 20:05:07+00:00,GET,/files/logstash/logstash-1.1.0-monolithic.jar,HTTP/1.1,200,40923996,http://logstash.net/docs/1.1.0/tutorials/getting-started-centralized,Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:25.0) Gecko/20100101 Firefox/25.0,Ubuntu,2015-05-18,,Hyderabad,11.449682607614365
100.2.4.116,-,2015-05-18 21:05:53+00:00,GET,/misc/sample.log,HTTP/1.1,200,54306753,http://www.semicomplete.com/,Mozilla/5.0 (Macintosh; Intel Mac OS X 10.7; rv:22.0) Gecko/20100101 Firefox/22.0,Mac OS X,2015-05-18,,Brooklyn,15.221035256664239
68.180.224.225,-,2015-05-18 21:05:07+00:00,GET,/files/logstash/logstash-1.1.9-flatjar.jar,HTTP/1.1,200,65259653,-,Mozilla/5.0 (compatible; Yahoo! Slurp; http://help.yahoo.com/help/us/ysearch/slurp),Other,2015-05-18,Yahoo! Slurp,Quincy,18.307637548686603
202.7.107.76,-,2015-05-18 21:05:09+00:00,GET,/files/logstash/logstash-1.1.0-monolithic.jar,HTTP/1.1,200,40923996,http://logstash.net/docs/1.1.0/tutorials/getting-started-centralized,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Ubuntu Chromium/32.0.1700.102 Chrome/32.0.1700.102 Safari/537.36",Ubuntu,2015-05-18,,,11.449682607614365
59.252.170.29,-,2015-05-18 21:05:51+00:00,GET,/files/logstash/logstash-1.1.0-monolithic.jar,HTTP/1.1,200,40923996,http://www.oschina.net/p/logstash,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/27.0.1453.93 Safari/537.36",Windows,2015-05-18,,,11.449682607614365
216.152.243.152,-,2015-05-18 22:05:21+00:00,GET,/misc/sample.log,HTTP/1.1,200,54306753,http://www.semicomplete.com/,Mozilla/5.0 (Macintosh; Intel Mac OS X 10.7; rv:21.0) Gecko/20100101 Firefox/21.0,Mac OS X,2015-05-18,,Sioux City,15.221035256664239
68.180.224.225,-,2015-05-19 02:05:04+00:00,GET,/files/logstash/logstash-1.1.0beta6-monolithic.jar,HTTP/1.1,200,39376459,-,Mozilla/5.0 (compatible; Yahoo! Slurp; http://help.yahoo.com/help/us/ysearch/slurp),Other,2015-05-19,Yahoo! Slurp,Quincy,11.01357607407627
88.198.255.242,-,2015-05-19 02:05:34+00:00,GET,/misc/sample.log,HTTP/1.1,200,54306753,http://www.semicomplete.com/,Mozilla/5.0 (Macintosh; Intel Mac OS X 10.7; rv:21.0) Gecko/20100101 Firefox/21.0,Mac OS X,2015-05-19,,,15.221035256664239
