Day Index,Bounce Rate
1/1/22,53.49%
1/2/22,52.77%
1/3/22,50.38%
1/4/22,45.38%
1/5/22,47.42%
1/6/22,47.44%
1/7/22,49.24%
1/8/22,52.74%
1/9/22,54.32%
1/10/22,50.02%
1/11/22,47.63%
1/12/22,48.55%
1/13/22,46.11%
1/14/22,46.22%
1/15/22,52.80%
1/16/22,52.91%
1/17/22,52.49%
1/18/22,48.20%
1/19/22,49.10%
1/20/22,48.46%
1/21/22,47.26%
1/22/22,52.34%
1/23/22,57.31%
1/24/22,47.60%
1/25/22,45.31%
1/26/22,47.96%
1/27/22,46.64%
1/28/22,48.80%
1/29/22,54.68%
1/30/22,51.34%
1/31/22,47.91%
2/1/22,48.06%
2/2/22,47.58%
2/3/22,47.11%
2/4/22,48.70%
2/5/22,54.58%
2/6/22,53.85%
2/7/22,47.68%
2/8/22,50.62%
2/9/22,47.84%
2/10/22,48.32%
2/11/22,48.48%
2/12/22,57.35%
2/13/22,55.00%
2/14/22,45.90%
2/15/22,47.16%
2/16/22,46.71%
2/17/22,45.29%
2/18/22,47.49%
2/19/22,54.30%
2/20/22,53.95%
2/21/22,52.09%
2/22/22,47.04%
2/23/22,46.80%
2/24/22,45.73%
2/25/22,46.39%
2/26/22,52.58%
2/27/22,51.69%
2/28/22,45.84%
3/1/22,48.41%
3/2/22,47.46%
3/3/22,44.94%
3/4/22,44.77%
3/5/22,50.20%
3/6/22,48.55%
3/7/22,48.51%
3/8/22,44.07%
3/9/22,46.31%
3/10/22,46.77%
3/11/22,51.02%
3/12/22,51.49%
3/13/22,49.49%
3/14/22,46.09%
3/15/22,44.46%
3/16/22,44.09%
3/17/22,42.45%
3/18/22,46.24%
3/19/22,48.74%
3/20/22,51.67%
3/21/22,45.74%
3/22/22,44.75%
3/23/22,46.34%
3/24/22,41.05%
3/25/22,42.32%
3/26/22,48.77%
3/27/22,51.11%
3/28/22,46.17%
3/29/22,43.39%
3/30/22,42.98%
3/31/22,42.42%
4/1/22,45.05%
4/2/22,51.16%
4/3/22,50.17%
4/4/22,45.11%
4/5/22,44.54%
4/6/22,38.07%
4/7/22,45.73%
4/8/22,45.84%
4/9/22,52.52%
4/10/22,51.27%
4/11/22,47.11%
4/12/22,44.65%
4/13/22,45.61%
4/14/22,45.34%
4/15/22,48.11%
4/16/22,52.05%
4/17/22,54.10%
4/18/22,46.58%
4/19/22,46.70%
4/20/22,47.64%
4/21/22,43.35%
4/22/22,46.89%
4/23/22,51.72%
4/24/22,52.86%
4/25/22,46.10%
4/26/22,45.41%
4/27/22,46.01%
4/28/22,44.55%
4/29/22,44.02%
4/30/22,50.45%
5/1/22,52.18%
5/2/22,44.79%
5/3/22,45.05%
5/4/22,46.14%
5/5/22,45.08%
5/6/22,64.45%
5/7/22,73.98%
5/8/22,54.65%
5/9/22,46.37%
5/10/22,46.48%
5/11/22,51.75%
5/12/22,54.12%
5/13/22,53.95%
5/14/22,68.19%
5/15/22,63.33%
5/16/22,49.02%
5/17/22,46.92%
5/18/22,46.48%
5/19/22,45.60%
5/20/22,46.24%
5/21/22,57.13%
5/22/22,53.67%
5/23/22,47.65%
5/24/22,45.07%
5/25/22,45.46%
5/26/22,46.52%
5/27/22,46.46%
5/28/22,53.29%
5/29/22,53.98%
5/30/22,53.72%
5/31/22,45.96%
6/1/22,46.12%
6/2/22,45.16%
6/3/22,45.43%
6/4/22,53.30%
6/5/22,52.86%
6/6/22,44.38%
6/7/22,48.69%
6/8/22,46.35%
6/9/22,44.13%
6/10/22,43.35%
6/11/22,52.53%
6/12/22,48.73%
6/13/22,45.39%
6/14/22,43.64%
6/15/22,43.28%
6/16/22,43.33%
6/17/22,45.13%
6/18/22,52.32%
6/19/22,52.04%
6/20/22,50.79%
6/21/22,46.04%
6/22/22,42.99%
6/23/22,43.08%
6/24/22,46.08%
6/25/22,51.90%
6/26/22,52.23%
6/27/22,43.87%
6/28/22,44.01%
6/29/22,44.46%
6/30/22,43.61%
7/1/22,45.89%
7/2/22,51.45%
7/3/22,53.25%
7/4/22,54.89%
7/5/22,51.82%
7/6/22,47.30%
7/7/22,42.72%
7/8/22,42.40%
7/9/22,49.94%
7/10/22,51.21%
7/11/22,43.98%
7/12/22,42.76%
7/13/22,44.76%
7/14/22,41.98%
7/15/22,41.94%
7/16/22,50.24%
7/17/22,47.74%
7/18/22,42.39%
7/19/22,42.02%
7/20/22,41.22%
7/21/22,40.37%
7/22/22,42.30%
7/23/22,50.12%
7/24/22,48.10%
7/25/22,43.67%
7/26/22,40.76%
7/27/22,39.60%
7/28/22,40.12%
7/29/22,39.71%
7/30/22,48.50%
7/31/22,49.07%
8/1/22,42.70%
8/2/22,40.82%
8/3/22,42.09%
8/4/22,40.87%
8/5/22,40.21%
8/6/22,47.70%
8/7/22,48.89%
8/8/22,40.28%
8/9/22,38.68%
8/10/22,39.12%
8/11/22,41.07%
8/12/22,40.31%
8/13/22,53.51%
8/14/22,48.68%
8/15/22,41.83%
8/16/22,40.95%
8/17/22,42.94%
8/18/22,43.26%
8/19/22,43.04%
8/20/22,47.25%
8/21/22,48.92%
8/22/22,42.79%
8/23/22,39.44%
8/24/22,41.80%
8/25/22,40.40%
8/26/22,40.47%
8/27/22,49.56%
8/28/22,47.68%
8/29/22,40.01%
8/30/22,42.46%
8/31/22,42.91%
9/1/22,43.04%
9/2/22,41.74%
9/3/22,49.81%
9/4/22,50.94%
9/5/22,50.69%
9/6/22,43.75%
9/7/22,45.83%
9/8/22,43.28%
9/9/22,40.72%
9/10/22,48.91%
9/11/22,47.95%
9/12/22,41.36%
9/13/22,40.71%
9/14/22,43.79%
9/15/22,40.26%
9/16/22,39.61%
9/17/22,47.12%
9/18/22,48.51%
9/19/22,41.20%
9/20/22,43.43%
9/21/22,44.05%
9/22/22,41.42%
9/23/22,41.52%
9/24/22,46.89%
9/25/22,46.53%
9/26/22,30.96%
9/27/22,26.60%
9/28/22,41.39%
9/29/22,41.35%
9/30/22,45.23%
10/1/22,49.65%
10/2/22,48.40%
10/3/22,42.16%
10/4/22,43.68%
10/5/22,43.55%
10/6/22,44.21%
10/7/22,43.14%
10/8/22,46.88%
10/9/22,49.30%
10/10/22,44.00%
10/11/22,40.79%
10/12/22,39.43%
10/13/22,40.58%
10/14/22,44.29%
10/15/22,49.74%
10/16/22,48.75%
10/17/22,42.92%
10/18/22,39.78%
10/19/22,42.93%
10/20/22,41.70%
10/21/22,42.12%
10/22/22,44.48%
10/23/22,47.48%
10/24/22,43.97%
10/25/22,43.79%
10/26/22,43.09%
10/27/22,42.15%
10/28/22,41.82%
10/29/22,46.11%
10/30/22,47.69%
10/31/22,44.46%
11/1/22,35.89%
,45.91%
