Day Index,Sessions
1/1/22,"1,176"
1/2/22,"1,408"
1/3/22,"1,711"
1/4/22,"2,470"
1/5/22,"2,554"
1/6/22,"2,209"
1/7/22,"2,167"
1/8/22,"1,587"
1/9/22,"1,758"
1/10/22,"2,719"
1/11/22,"2,782"
1/12/22,"2,787"
1/13/22,"2,713"
1/14/22,"2,289"
1/15/22,"1,640"
1/16/22,"1,565"
1/17/22,"2,191"
1/18/22,"2,745"
1/19/22,"2,727"
1/20/22,"3,118"
1/21/22,"2,355"
1/22/22,"1,685"
1/23/22,"1,785"
1/24/22,"2,769"
1/25/22,"3,174"
1/26/22,"2,921"
1/27/22,"3,165"
1/28/22,"2,719"
1/29/22,"1,761"
1/30/22,"1,749"
1/31/22,"2,703"
2/1/22,"2,880"
2/2/22,"3,123"
2/3/22,"2,980"
2/4/22,"2,893"
2/5/22,"1,790"
2/6/22,"1,963"
2/7/22,"3,016"
2/8/22,"3,303"
2/9/22,"3,549"
2/10/22,"3,247"
2/11/22,"3,026"
2/12/22,"1,707"
2/13/22,"1,949"
2/14/22,"2,734"
2/15/22,"3,060"
2/16/22,"3,513"
2/17/22,"3,005"
2/18/22,"2,367"
2/19/22,"1,488"
2/20/22,"1,533"
2/21/22,"2,129"
2/22/22,"2,785"
2/23/22,"2,613"
2/24/22,"2,539"
2/25/22,"2,283"
2/26/22,"1,552"
2/27/22,"1,602"
2/28/22,"2,415"
3/1/22,"2,710"
3/2/22,"2,897"
3/3/22,"2,775"
3/4/22,"2,229"
3/5/22,"1,711"
3/6/22,"1,687"
3/7/22,"2,779"
3/8/22,"3,020"
3/9/22,"3,222"
3/10/22,"2,895"
3/11/22,"2,060"
3/12/22,"1,412"
3/13/22,"1,580"
3/14/22,"2,671"
3/15/22,"2,598"
3/16/22,"2,867"
3/17/22,"2,907"
3/18/22,"2,392"
3/19/22,"1,625"
3/20/22,"1,678"
3/21/22,"3,006"
3/22/22,"3,001"
3/23/22,"3,209"
3/24/22,"3,778"
3/25/22,"2,793"
3/26/22,"1,626"
3/27/22,"1,929"
3/28/22,"2,987"
3/29/22,"2,835"
3/30/22,"2,834"
3/31/22,"3,027"
4/1/22,"2,393"
4/2/22,"1,558"
4/3/22,"1,732"
4/4/22,"3,079"
4/5/22,"3,020"
4/6/22,"7,139"
4/7/22,"5,521"
4/8/22,"3,678"
4/9/22,"2,519"
4/10/22,"2,327"
4/11/22,"3,526"
4/12/22,"3,433"
4/13/22,"3,225"
4/14/22,"3,194"
4/15/22,"2,723"
4/16/22,"1,856"
4/17/22,"1,697"
4/18/22,"3,143"
4/19/22,"3,550"
4/20/22,"3,543"
4/21/22,"3,559"
4/22/22,"2,794"
4/23/22,"1,771"
4/24/22,"2,009"
4/25/22,"3,382"
4/26/22,"3,402"
4/27/22,"3,508"
4/28/22,"3,403"
4/29/22,"2,917"
4/30/22,"1,871"
5/1/22,"1,742"
5/2/22,"3,016"
5/3/22,"3,225"
5/4/22,"3,227"
5/5/22,"3,385"
5/6/22,"4,231"
5/7/22,"3,390"
5/8/22,"2,225"
5/9/22,"3,293"
5/10/22,"3,632"
