Day Index,Users
1/1/22,"1,082"
1/2/22,"1,303"
1/3/22,"1,568"
1/4/22,"2,251"
1/5/22,"2,312"
1/6/22,"2,044"
1/7/22,"1,980"
1/8/22,"1,464"
1/9/22,"1,609"
1/10/22,"2,465"
1/11/22,"2,511"
1/12/22,"2,516"
1/13/22,"2,445"
1/14/22,"2,072"
1/15/22,"1,486"
1/16/22,"1,444"
1/17/22,"1,980"
1/18/22,"2,497"
1/19/22,"2,481"
1/20/22,"2,821"
1/21/22,"2,132"
1/22/22,"1,535"
1/23/22,"1,641"
1/24/22,"2,506"
1/25/22,"2,904"
1/26/22,"2,676"
1/27/22,"2,882"
1/28/22,"2,448"
1/29/22,"1,616"
1/30/22,"1,586"
1/31/22,"2,428"
2/1/22,"2,623"
2/2/22,"2,844"
2/3/22,"2,692"
2/4/22,"2,625"
2/5/22,"1,636"
2/6/22,"1,794"
2/7/22,"2,702"
2/8/22,"2,968"
2/9/22,"3,140"
2/10/22,"2,897"
2/11/22,"2,726"
2/12/22,"1,540"
2/13/22,"1,749"
2/14/22,"2,484"
2/15/22,"2,789"
2/16/22,"3,206"
2/17/22,"2,761"
2/18/22,"2,140"
2/19/22,"1,363"
2/20/22,"1,393"
2/21/22,"1,953"
2/22/22,"2,520"
2/23/22,"2,385"
2/24/22,"2,269"
2/25/22,"2,043"
2/26/22,"1,416"
2/27/22,"1,444"
2/28/22,"2,188"
3/1/22,"2,409"
3/2/22,"2,601"
3/3/22,"2,491"
3/4/22,"2,031"
3/5/22,"1,533"
3/6/22,"1,494"
3/7/22,"2,499"
3/8/22,"2,668"
3/9/22,"2,824"
3/10/22,"2,595"
3/11/22,"1,847"
3/12/22,"1,284"
3/13/22,"1,426"
3/14/22,"2,393"
3/15/22,"2,345"
3/16/22,"2,574"
3/17/22,"2,617"
3/18/22,"2,124"
3/19/22,"1,482"
3/20/22,"1,532"
3/21/22,"2,660"
3/22/22,"2,726"
3/23/22,"2,848"
3/24/22,"3,401"
3/25/22,"2,507"
3/26/22,"1,479"
3/27/22,"1,754"
3/28/22,"2,654"
3/29/22,"2,545"
3/30/22,"2,546"
3/31/22,"2,698"
4/1/22,"2,164"
4/2/22,"1,416"
4/3/22,"1,564"
4/4/22,"2,760"
4/5/22,"2,676"
4/6/22,"6,529"
4/7/22,"4,881"
4/8/22,"3,262"
4/9/22,"2,262"
4/10/22,"2,110"
4/11/22,"3,146"
4/12/22,"3,047"
4/13/22,"2,920"
4/14/22,"2,876"
4/15/22,"2,452"
4/16/22,"1,684"
4/17/22,"1,558"
4/18/22,"2,829"
4/19/22,"3,147"
4/20/22,"3,131"
4/21/22,"3,085"
4/22/22,"2,497"
4/23/22,"1,615"
